2022-06-06T18:27:42.201247
drone_id,min_planning_time,max_planning_time, avg_planning_time,average_init_time,average_opt_time, mission_time, distance, max_vel
1,0.000103631,0.0013963,0.000510993,4.17033e-05,0.00046929,18.441,24.2689,1.50636
7,9.4342e-05,0.00187372,0.000529094,3.23519e-05,0.000496742,18.3002,24.1203,1.51195
19,7.2228e-05,0.00158383,0.000495107,3.43792e-05,0.000460728,18.4564,24.1478,1.51212
9,9.2881e-05,0.00208124,0.000532516,3.65527e-05,0.000495964,18.4934,24.3113,1.51426
2,0.000108109,0.00146112,0.0005198,3.28469e-05,0.000486953,18.6655,24.4483,1.50839
10,9.909e-05,0.00190618,0.000513769,3.10349e-05,0.000482734,18.7168,24.1632,1.50808
4,9.0978e-05,0.00169418,0.000519052,2.52851e-05,0.000493766,18.8219,24.1671,1.5097
15,0.000102625,0.00118379,0.000532163,2.71346e-05,0.000505028,18.8127,24.0944,1.50791
5,9.0352e-05,0.00140184,0.000482712,2.7108e-05,0.000455604,18.951,24.1368,1.50804
0,0.000112615,0.00135293,0.000542885,3.12048e-05,0.00051168,19.4627,24.0392,1.51259
6,0.00010323,0.00114199,0.00050253,3.18951e-05,0.000470635,19.0186,24.1009,1.51253
11,9.1374e-05,0.00143522,0.000507422,2.95016e-05,0.000477921,19.0634,24.1442,1.51083
18,7.1476e-05,0.00108894,0.000428847,2.68586e-05,0.000401988,19.1035,24.1004,1.50931
16,0.000109173,0.000819315,0.00043697,2.63492e-05,0.00041062,19.292,24.0298,1.50994
17,8.6629e-05,0.00169832,0.000547494,2.72972e-05,0.000520197,19.3143,24.0356,1.50979
12,8.0573e-05,0.00147914,0.000451341,3.01252e-05,0.000421215,19.394,24.3044,1.5102
14,8.5249e-05,0.00120191,0.000487759,2.73658e-05,0.000460394,19.4978,24.1462,1.50775
8,8.7917e-05,0.00129974,0.000496714,2.74872e-05,0.000469227,19.5564,24.183,1.51217
13,0.000103411,0.00143525,0.000503135,3.08105e-05,0.000472324,19.7144,24.2086,1.5104
3,0.000102537,0.0012159,0.00054741,3.02149e-05,0.000517195,20.2024,24.0726,1.50977
2022-06-06T18:28:22.632437
drone_id,min_planning_time,max_planning_time, avg_planning_time,average_init_time,average_opt_time, mission_time, distance, max_vel
10,0.000102203,0.00143621,0.000535517,3.40873e-05,0.00050143,18.2932,24.0953,1.50885
13,9.2565e-05,0.00158513,0.00060053,3.10422e-05,0.000569487,18.3837,24.1817,1.51245
18,8.903e-05,0.00100014,0.000458488,2.96799e-05,0.000428808,18.4175,24.0759,1.5085
5,9.484e-05,0.0013862,0.000547176,3.12223e-05,0.000515953,18.6107,24.1731,1.51422
8,9.2379e-05,0.00151571,0.000505994,2.84616e-05,0.000477533,18.7736,24.1967,1.51417
4,8.2767e-05,0.00156609,0.00046909,3.33526e-05,0.000435737,18.8213,24.0969,1.51071
7,7.7828e-05,0.000960836,0.000399488,3.00452e-05,0.000369443,18.7993,24.0804,1.50672
0,9.6939e-05,0.00129662,0.000426582,3.22655e-05,0.000394316,19.3234,24.1324,1.50673
19,0.000112074,0.001827,0.000530395,4.03716e-05,0.000490023,18.8943,24.5061,1.5118
