2022-06-06T18:52:32.706330
drone_id,min_planning_time,max_planning_time, avg_planning_time,average_init_time,average_opt_time, mission_time, distance, max_vel
8,0.000111492,0.001118,0.000479359,3.26147e-05,0.000446745,18.5286,24.7392,1.5134
11,0.000169858,0.00120625,0.000450994,3.18035e-05,0.00041919,18.6842,24.7456,1.51015
9,6.9127e-05,0.000942663,0.000389202,2.95566e-05,0.000359645,18.8867,24.1249,1.50921
12,0.000100331,0.0012463,0.000411627,2.9494e-05,0.000382133,19.4661,26.0026,1.50582
10,0.000103499,0.00128962,0.000417059,2.7652e-05,0.000389407,20.1355,24.1289,1.50688
13,9.21e-05,0.00101795,0.000456501,2.80467e-05,0.000428454,20.468,27.788,1.51147
7,0.000160201,0.00104914,0.000471674,3.17305e-05,0.000439943,20.7392,26.0099,1.51082
6,0.000145001,0.00109126,0.00046585,2.81345e-05,0.000437715,21.7761,27.8178,1.51147
14,7.9837e-05,0.00108487,0.000425925,2.94721e-05,0.000396453,22.4785,30.0022,1.51086
5,9.5613e-05,0.00101867,0.000461044,3.12133e-05,0.000429831,22.7999,30.0205,1.51038
4,0.000122267,0.00158492,0.000498771,3.31282e-05,0.000465643,23.8048,32.5583,1.50852
15,7.0725e-05,0.00109897,0.000388751,2.92239e-05,0.000359528,23.9189,32.5632,1.51064
3,9.8095e-05,0.00116741,0.000429838,3.17503e-05,0.000398088,25.6545,35.3842,1.51017
16,0.000139177,0.00120945,0.000491073,3.21308e-05,0.000458943,25.9525,35.3883,1.50575
17,9.048e-05,0.001403,0.000447251,2.89827e-05,0.000418269,27.6568,38.4191,1.51196
2,8.4966e-05,0.00102143,0.000379847,3.36077e-05,0.000346239,28.6185,38.4235,1.51249
1,9.5256e-05,0.00135255,0.000458474,3.23217e-05,0.000426152,29.8739,41.6261,1.51243
18,0.000129417,0.00145013,0.00041062,2.9537e-05,0.000381083,29.9418,41.6196,1.51024
0,9.5213e-05,0.00169357,0.000525019,3.45325e-05,0.000490486,32.5197,44.9443,1.51479
19,7.2548e-05,0.00118139,0.00044018,2.91749e-05,0.000411005,32.048,44.9445,1.5098
2022-06-06T18:54:03.434513
drone_id,min_planning_time,max_planning_time, avg_planning_time,average_init_time,average_opt_time, mission_time, distance, max_vel
8,0.000108206,0.00084472,0.000394095,2.84058e-05,0.000365689,18.4009,24.7396,1.51017
