2022-06-06T18:38:01.533602
drone_id,min_planning_time,max_planning_time, avg_planning_time,average_init_time,average_opt_time, mission_time, distance, max_vel
1,8.2465e-05,0.000769985,0.000365828,3.48251e-05,0.000331003,18.0921,24.0811,1.50897
0,0.000102431,0.00109502,0.000414316,3.26337e-05,0.000381682,18.2843,24.0022,1.50979
2,8.4337e-05,0.00101006,0.000367965,2.64811e-05,0.000341484,18.3005,24.0278,1.51358
7,9.2721e-05,0.000852387,0.000369112,3.10551e-05,0.000338057,18.1856,24.0031,1.50791
13,9.7116e-05,0.000938218,0.000380327,3.01141e-05,0.000350213,18.1971,24.0001,1.51096
3,8.5622e-05,0.00145223,0.000416507,3.17211e-05,0.000384786,18.32,24.03,1.51441
8,7.781e-05,0.000714223,0.00033637,3.03672e-05,0.000306003,18.2451,24.0935,1.50953
10,0.000112735,0.00146535,0.000403781,2.56125e-05,0.000378169,18.2752,24.0288,1.51422
6,8.5529e-05,0.000761433,0.00039039,3.52175e-05,0.000355172,18.3189,24.1139,1.52164
18,7.678e-05,0.0010852,0.000421054,3.03408e-05,0.000390713,18.2798,24.0882,1.50894
16,0.000101733,0.0013797,0.000456528,3.22704e-05,0.000424257,18.2892,24.0645,1.50802
12,8.1721e-05,0.00086959,0.000357045,2.47652e-05,0.00033228,18.3405,24.0088,1.50891
9,7.7212e-05,0.000835441,0.000348116,2.68575e-05,0.000321259,18.3527,24.001,1.50925
4,9.4055e-05,0.0014056,0.000457223,3.34002e-05,0.000423823,18.4406,24.0626,1.50738
15,9.2939e-05,0.000739528,0.000386051,2.51556e-05,0.000360895,18.3422,24.0248,1.50892
19,7.0122e-05,0.000708588,0.000341858,3.14991e-05,0.000310358,18.3386,24.0335,1.51277
5,8.26e-05,0.000886264,0.000394869,2.75699e-05,0.000367299,18.4364,24.0028,1.51263
11,9.4403e-05,0.00129451,0.000417444,3.44401e-05,0.000383004,18.4337,24.166,1.50804
17,9.0089e-05,0.00117799,0.000438904,2.68043e-05,0.000412099,18.568,24.0218,1.5089
14,6.9501e-05,0.00220859,0.000503085,2.87047e-05,0.00047438,19.0672,24.5184,1.51132
2022-06-06T18:38:41.928929
drone_id,min_planning_time,max_planning_time, avg_planning_time,average_init_time,average_opt_time, mission_time, distance, max_vel
0,0.00010119,0.00152955,0.000477971,3.22295e-05,0.000445741,18.3196,24.0071,1.50889
1,8.903e-05,0.000695226,0.000347171,3.45762e-05,0.000312595,18.286,24.077,1.50987
2,8.7594e-05,0.000776467,0.00035625,3.36638e-05,0.000322586,18.2424,24.0059,1.50863
15,9.0664e-05,0.00111162,0.000392989,2.98178e-05,0.000363172,18.1757,23.9999,1.51124
11,8.327e-05,0.00133318,0.000501834,3.63034e-05,0.00046553,18.1991,24.2035,1.50889
4,9.9526e-05,0.00111897,0.000395296,3.74207e-05,0.000357876,18.3094,24.0757,1.50915
3,0.000100187,0.00115585,0.000417834,2.94061e-05,0.000388428,18.3413,24.0032,1.51094
17,9.7371e-05,0.000938469,0.000394716,2.74817e-05,0.000367234,18.2346,24.0038,1.50889
16,7.7438e-05,0.00100381,0.00035918,3.15591e-05,0.000327621,18.2573,24.0447,1.515
7,8.3367e-05,0.000847659,0.000394022,3.13498e-05,0.000362672,18.2942,24.0293,1.50866
5,0.000109869,0.00139135,0.000426338,3.22411e-05,0.000394097,18.3764,24.185,1.51181
13,0.000111958,0.000777071,0.000371231,2.52368e-05,0.000345994,18.3097,24.0213,1.51088
12,8.5338e-05,0.00121389,0.000384775,2.84662e-05,0.000356309,18.3224,24.0203,1.51091
8,8.5636e-05,0.00126344,0.000372758,3.60993e-05,0.000336659,18.3613,24.0826,1.51002
6,8.7466e-05,0.000753224,0.000361902,3.57989e-05,0.000326103,18.4191,24.1177,1.50722
19,8.0787e-05,0.00074679,0.000340942,2.69262e-05,0.000314016,18.3893,24.0329,1.51302
10,0.000122107,0.000777542,0.000398205,2.67388e-05,0.000371466,18.4231,24.0303,1.50804
18,7.3843e-05,0.000847304,0.000325004,2.67875e-05,0.000298217,18.3985,24.0886,1.51104
14,8.3597e-05,0.00148101,0.000404397,3.58117e-05,0.000368586,18.4615,24.0056,1.51051
2022-06-06T18:39:22.635313
drone_id,min_planning_time,max_planning_time, avg_planning_time,average_init_time,average_opt_time, mission_time, distance, max_vel
0,0.000103464,0.0014559,0.000454944,3.27897e-05,0.000422154,18.3825,24.0114,1.51806
2,0.000116333,0.001098,0.000397037,3.24282e-05,0.000364609,18.1469,24.0034,1.50896
1,8.7315e-05,0.00102544,0.000416762,3.81079e-05,0.000378654,18.3005,24.0719,1.50911
5,9.2577e-05,0.0011596,0.000415797,3.05535e-05,0.000385243,18.2344,24.1228,1.50865
4,9.3747e-05,0.00151476,0.000481101,3.34684e-05,0.000447633,18.2798,24.0123,1.50967
6,8.5598e-05,0.0012183,0.000380472,3.11156e-05,0.000349357,18.2607,24.0799,1.51057
12,0.000107647,0.00110426,0.000374409,2.78522e-05,0.000346557,18.2332,24.0205,1.51073
13,8.2917e-05,0.000802532,0.000394492,2.86749e-05,0.000365817,18.2328,24.0403,1.5089
7,8.0826e-05,0.000789984,0.000372551,3.04718e-05,0.000342079,18.3046,24.0014,1.51001
3,9.4423e-05,0.000933619,0.000386111,3.41852e-05,0.000351926,18.3945,24.0012,1.51224
16,0.000120942,0.000794627,0.000398122,3.34666e-05,0.000364655,18.2941,24.0621,1.5089
9,7.9801e-05,0.00161653,0.000406564,2.56693e-05,0.000380895,18.3602,24.0035,1.50927
17,7.6779e-05,0.000661636,0.000355138,2.98857e-05,0.000325252,18.3238,24.0405,1.51212
8,7.5063e-05,0.000992736,0.000381736,2.75805e-05,0.000354155,18.3966,24.0798,1.5089
19,9.3096e-05,0.00104946,0.000370978,2.86566e-05,0.000342322,18.3549,24.0294,1.5089
11,7.8321e-05,0.00108185,0.00039816,3.37635e-05,0.000364397,18.4047,24.1215,1.50889
18,8.7973e-05,0.000799037,0.000378934,3.18525e-05,0.000347082,18.3736,24.0796,1.50924
10,9.248e-05,0.00129986,0.000431804,2.65833e-05,0.000405221,18.4621,24.0177,1.51076
15,9.9191e-05,0.00150843,0.000426594,3.00811e-05,0.000396513,18.5198,24.0275,1.5089
14,9.0535e-05,0.00173413,0.000468612,2.94559e-05,0.000439156,18.529,24.5389,1.51263
2022-06-06T18:40:03.517901
drone_id,min_planning_time,max_planning_time, avg_planning_time,average_init_time,average_opt_time, mission_time, distance, max_vel
0,9.7657e-05,0.000889084,0.000386532,3.07247e-05,0.000355807,18.3136,24.0382,1.50937
1,8.5371e-05,0.000917977,0.000412375,3.4116e-05,0.000378259,18.1941,24.0763,1.50898
2,8.7345e-05,0.000917894,0.000406108,3.06887e-05,0.000375419,18.1901,24.0327,1.5107
4,9.3557e-05,0.00193427,0.000455295,3.30877e-05,0.000422207,18.2497,24.0463,1.51334
14,8.0611e-05,0.00172289,0.000412236,2.86524e-05,0.000383583,18.1925,24.0191,1.5089
5,8.6301e-05,0.00150301,0.000543768,3.12353e-05,0.000512533,18.2676,24.0959,1.51149
